sexual_orientation,location_type,income_bracket,education_level,interest_tags,app_usage_time_min,app_usage_time_label,swipe_right_ratio,swipe_right_label,likes_received,mutual_matches,profile_pics_count,bio_length,message_sent_count,emoji_usage_rate,last_active_hour,swipe_time_of_day,match_outcome,age,height_cm,weight_kg,zodiac_sign,body_type,relationship_intent,Género,Provincia
Gay,Urban,High,Bachelor’s,"Fitness, Politics, Traveling",52,Moderate,0.6,Optimistic,173,23,4,44,75,0.36,13,Early Morning,Mutual Match,56,149.0,40.6,Taurus,Curvy,Friends Only,Mujer,Las Palmas
Bisexual,Suburban,Upper-Middle,No Formal Education,"Languages, Fashion, Parenting",279,Extreme User,0.56,Optimistic,107,7,3,301,35,0.42,0,Morning,Chat Ignored,40,155.0,69.7,Leo,Plus Size,Hookups,Hombre,Alicante
Pansexual,Suburban,Low,Master’s,"Movies, Reading, DIY",49,Moderate,0.41,Optimistic,91,27,2,309,33,0.41,1,After Midnight,Date Happened,30,185.0,96.9,Sagittarius,Curvy,Serious Relationship,Mujer,Cantabria
Gay,Metro,Very Low,Postdoc,"Coding, Podcasts, History",185,Extreme User,0.32,Balanced,147,6,5,35,5,0.07,21,Morning,No Action,57,154.0,49.3,Taurus,Slim,Exploring,No binario,Lugo
Bisexual,Urban,Middle,Bachelor’s,"Clubbing, Podcasts, Cars",83,High,0.32,Balanced,94,11,1,343,34,0.11,22,After Midnight,One-sided Like,24,149.0,40.0,Libra,Slim,Casual Dating,Hombre,Valladolid
Lesbian,Small Town,High,Associate’s,"Anime, Clubbing, DIY",138,Addicted,0.62,Optimistic,163,22,4,112,87,0.18,10,Early Morning,Blocked,39,167.0,53.3,Virgo,Curvy,Exploring,Hombre,Palencia
Asexual,Metro,Lower-Middle,High School,"Tech, Makeup, Parenting",161,Addicted,0.38,Balanced,54,20,3,202,82,0.32,14,Morning,No Action,44,168.0,81.3,Capricorn,Slim,Serious Relationship,Hombre,Cáceres
Bisexual,Remote Area,Upper-Middle,Postdoc,"Spirituality, Sneaker Culture, Meditation",219,Extreme User,0.47,Optimistic,149,12,2,112,17,0.54,16,Evening,One-sided Like,59,159.0,67.8,Capricorn,Muscular,Hookups,Mujer,Alicante
Gay,Suburban,High,Diploma,"MMA, Board Games, Startups",32,Moderate,0.23,Balanced,98,12,4,239,67,0.27,8,Late Night,Mutual Match,26,160.0,65.0,Taurus,Plus Size,Exploring,Hombre,Ávila
Gay,Remote Area,Upper-Middle,Bachelor’s,"Social Activism, Astrology, Photography",150,Addicted,0.68,Optimistic,111,5,3,1,92,0.27,23,Afternoon,Relationship Formed,24,151.0,55.6,Gemini,Athletic,Friends Only,Hombre,Jaén
Gay,Remote Area,Lower-Middle,Postdoc,"Startups, Fashion, Yoga",191,Extreme User,0.41,Optimistic,195,5,4,488,99,0.57,16,Early Morning,Catfished,46,194.0,79.4,Gemini,Slim,Casual Dating,Mujer,León
Queer,Urban,Very Low,Master’s,"Memes, Fitness, Gaming",123,Addicted,0.53,Optimistic,145,30,0,43,93,0.13,15,Early Morning,Relationship Formed,46,162.0,74.0,Cancer,Plus Size,Serious Relationship,Mujer,Pontevedra
Lesbian,Remote Area,Middle,Postdoc,"Anime, Spirituality, Stand-up Comedy",216,Extreme User,0.71,Swipe Maniac,54,29,4,386,93,0.43,22,Morning,No Action,26,176.0,76.8,Taurus,Athletic,Serious Relationship,Hombre,Valladolid
Asexual,Metro,Upper-Middle,PhD,"Photography, Fitness, Politics",32,Moderate,0.38,Balanced,86,0,4,283,29,0.23,18,Morning,Mutual Match,21,158.0,62.7,Taurus,Curvy,Friends Only,No binario,Málaga
Straight,Suburban,Very Low,No Formal Education,"Astrology, Cooking, Investing",121,Addicted,0.28,Balanced,71,21,3,109,69,0.08,4,After Midnight,Catfished,44,150.0,56.7,Virgo,Athletic,Serious Relationship,Hombre,Guadalajara
Queer,Suburban,Very High,PhD,"Poetry, Fashion, Movies",49,Moderate,0.56,Optimistic,168,13,2,216,52,0.39,14,After Midnight,Mutual Match,32,163.0,47.8,Cancer,Average,Casual Dating,Hombre,La Rioja
Gay,Urban,Middle,Master’s,"Movies, Fitness, Fashion",97,High,0.49,Optimistic,137,14,1,216,23,0.54,8,Evening,Blocked,20,145.0,54.2,Cancer,Athletic,Networking,Mujer,Zamora
Queer,Small Town,Very Low,No Formal Education,"Social Activism, Painting, Hiking",47,Moderate,0.49,Optimistic,192,27,1,85,52,0.31,15,Evening,Blocked,43,147.0,45.6,Scorpio,Plus Size,Networking,Hombre,Huesca
Straight,Suburban,Middle,No Formal Education,"DIY, Spirituality, Clubbing",146,Addicted,0.46,Optimistic,108,22,5,401,71,0.41,21,After Midnight,Date Happened,56,182.0,87.8,Capricorn,Slim,Friends Only,Hombre,Córdoba
Bisexual,Rural,Low,No Formal Education,"Meditation, Sneaker Culture, Painting",31,Moderate,0.65,Optimistic,191,10,0,25,74,0.18,15,Late Night,Relationship Formed,19,197.0,104.8,Libra,Muscular,Friends Only,Mujer,Sevilla
Straight,Small Town,Very Low,Diploma,"Cooking, Startups, MMA",120,Addicted,0.68,Optimistic,103,3,4,126,74,0.2,19,Early Morning,Catfished,18,200.0,105.2,Capricorn,Slim,Friends Only,Hombre,Bizkaia
Demisexual,Remote Area,Upper-Middle,Postdoc,"Foodie, Spirituality, Tech",160,Addicted,0.54,Optimistic,61,8,3,67,85,0.19,20,Afternoon,Date Happened,44,160.0,50.7,Aquarius,Muscular,Networking,Hombre,Bizkaia
Gay,Urban,Middle,High School,"Cooking, Painting, Tech",259,Extreme User,0.56,Optimistic,67,4,2,451,8,0.68,7,Afternoon,No Action,41,189.0,71.8,Libra,Curvy,Hookups,No binario,Granada
Queer,Small Town,High,Bachelor’s,"History, Social Activism, Stand-up Comedy",4,Barely,0.57,Optimistic,170,26,4,153,84,0.29,3,Morning,No Action,22,168.0,53.6,Cancer,Muscular,Networking,Mujer,Huesca
